Leverandørnummer,Navn,Organisasjonsnummer,Telefonnummer,Telefonnr. mobil,E-postadresse,Postadresse Linje,Postadresse Postnr.,Postadresse Sted,Postadresse Land,Forretningsadresse Linje,Forretningsadresse Postnr.,Forretningsadresse Sted,Forretningsadresse Land
20313,Inergeo AS,998199492,,90579409,,Nimannsveien 10,3022,DRAMMEN,,Nimannsveien 10,3022,DRAMMEN,
20436,Input Interior Norway AS,941920020,21 02 35 00,,,Drammensveien 130,277,OSLO,Norge,Drammensveien 130,277,OSLO,Norge
20257,Installasjonsfirmaet Owesen AS,933300048,67 17 89 00,,,Postboks 62,1309,RUD,Norge,Vakåsveien 9,1395,HVALSTAD,Norge
20192,Intec Pumper AS,858454662,64 97 07 00,91102668,hellem@intecpumper.no,Kongeveien 220,1407,VINTERBRO,Norge,Kongeveien 220,1407,VINTERBRO,Norge
20101,INTEP AS,976252829,,,,JOHAN SCHARFFENBERGS VEI 95,694,OSLO,,,,,
20305,Interiøragenturer J. Sveen AS,933276023,22 54 03 07,,,Arnstein Arnebergs vei 3,274,OSLO,,Arnstein Arnebergs vei 3,274,OSLO,Norge
20303,Isachsen Anlegg AS,970999507,,,,Teglverksveien 100,3057,SOLBERGELVA,,,,,
20240,Ishavskraft AS,979139268,78 44 96 50,,firmapost@ishavskraft.no,Postboks 1374,9506,ALTA,Norge,Løkkeveien 33,9510,ALTA,Norge
20333,ISOVATOR AS,974273845,,,,HORGENVEIEN 227,3303,Hokksund,,,,,
20003,Iss Facility Services AS,914791723,22 88 50 00,,kundesenter@iss.no,Postboks 132  Økern,509,OSLO,Norge,Smeltedigelen 1,195,OSLO,Norge
20117,Itek AS,873194472,37 26 70 00,,ivar@itekas.no,Postboks 78,4791,LILLESAND,Norge,Havnegata 1,4790,LILLESAND,Norge
20128,Jan Bråthen Tekstilprofilering,971088591,,907 64 366,post@braathentekstil.no,Dalheimveien 9C,198,OSLO,Norge,Dalheimveien 9C,198,OSLO,Norge
20160,JET Bramo AS,960828305,,,,Postboks 222,3421,LIERSKOGEN,,,,,
20033,Johnson Controls Norway AS,940729092,23 03 61 00,,firmapost@jci.com,Ensjøveien 23B,661,OSLO,Norge,Ensjøveien 23B,661,OSLO,Norge
20229,Jon Oscar Utseth Njerve,,,45216582,,Krumgata 14,1396,Billingstad,,,,,
20284,Jon Åge Aarhus,969922274,,,,Ålandsvegen 72,2170,FENSTAD,Norge,Ålandsvegen 72,2170,FENSTAD,Norge
20446,Jureova og Valko Gaustaservice ANS,912685292,,452 42 523,,Postboks 95,3661,RJUKAN,Norge,Brendstaultunet B02B,3660,RJUKAN,Norge
20085,Kaffeknappen Norge AS,921154003,,,,Økernveien 121,579,OSLO,Norge,Økernveien 121,579,OSLO,Norge
20350,Karcher A.s,929066669,24 17 77 00,,,Postboks 114 Grorud,905,OSLO,,Stanseveien 31,976,OSLO,Norge
20201,Ken Hygiene Systems AS,924869860,22 79 33 00,,ken-no@ken.no,Verkseier Furulunds vei 21,668,OSLO,Norge,Verkseier Furulunds vei 21,668,OSLO,Norge
20073,Keylink AS,980871606,66 77 93 01,,postmaster@keylink.no,Nye Vakås vei 64,1395,HVALSTAD,Norge,Nye Vakås vei 64,1395,HVALSTAD,Norge
20230,Kinly AS,980363198,51 20 50 00,,post@vijugroup.com,Postboks 8026,4068,STAVANGER,Norge,Luramyrveien 79,4313,SANDNES,Norge
20091,Kinnarps AS,983060072,67 16 71 00,,,Postboks 93,1332,ØSTERÅS,Norge,Grinidammen 4,1359,EIKSMARKA,Norge
20002,Kiwa Norkjemi AS,987766670,24 11 85 46,,post@norkjemi.no,Brobekkveien 107,582,OSLO,Norge,Brobekkveien 107,582,OSLO,Norge
20319,Klarna Bank Ab,912266915,,,,c/o Klarna Norge AS Kronprinsens gate 5,251,OSLO,,Sveavägen 46,,SE-111 34 STOCKHOLM,
20261,KlimaControl AS,979122314,,,,Ole Deviks vei 46,668,OSLO,,,,,
20250,Kluge Advokatfirma AS,913296117,,,,Olav Kyrres gate 21 Herbarium Postboks 277,4068,STAVANGER,,,,,
20345,Kompetansebedriften AS,915131670,,,,Aasta Hansteens vei 3,988,OSLO,,,,,
20392,Komplett Bedrift,979642121,,,,Østre Kullerød 4,3241,Sandefjord,,,,,
20124,Kone Aksjeselskap,918201548,22 58 70 00,,konenorge@kone.com,Postboks 6009 Etterstad,601,OSLO,Norge,Ryenstubben 12,679,OSLO,Norge
20030,Konsulent Data & Restaurant AS,967455245,23 03 12 00,,kdr@kdr.no,Brynsengveien 2,667,OSLO,Norge,Brynsengveien 2,667,OSLO,Norge
20304,Kontor & Interiør AS,980895394,,,,Tuneveien 2,1710,SARPSBORG,,,,,
20051,Korsbakken Bad AS,930901539,22 35 27 60,,firmapost@korsbakken.no,Postboks 4365 Nydalen,402,OSLO,Norge,Hasleveien 28,571,OSLO,Norge
20452,Kosan Gas Norge AS,884070422,22 88 30 80,,,Brynsveien 2 - 4,667,OSLO,Norge,Brynsveien 2 - 4,667,OSLO,Norge
20175,Kredinor Finans AS,984467990,,,,PB. 782 - SENTRUM,106,OSLO,,,,,
20289,Kredinor SA,953556472,22 00 91 00,,firmapost@kredinor.no,Postboks 782 SENTRUM,106,OSLO,Norge,Rådhusgata 27,158,OSLO,Norge
20283,Kreditorforeningen Øst SA,952107402,62 88 89 50,,kongsvinger@kred.no,Postboks 6,2201,KONGSVINGER,Norge,Fjellgata 5,2212,KONGSVINGER,Norge
20233,Kredittkort,,,,,,,,,,,,
20369,Krohnark AS,917936927,,,,Waldemar Thranesgate 84 C,175,Oslo,,,,,
20323,Kubik Interiørarkitekter AS,999520979,,,,Rosenkrantzgate 7,159,Oslo,,,,,
20411,Kvadrat Norge AS,987611146,22 44 54 90,,,c/o Haslestad Regnskap Postboks 430 Skøyen,213,OSLO,Norge,Biermanns gate 6,473,OSLO,Norge
20183,Kvintblendex AS,963667337,23 00 51 50,,,Sinsenveien 53 A,585,OSLO,Norge,Sinsenveien 53 A,585,OSLO,Norge
20276,Landsforeningen For Hjerte Og,940190738,67 02 30 00,,post@lhl.no,Postboks 4246 Nydalen,401,OSLO,Norge,Vitaminveien 1A,485,OSLO,Norge
20116,Lekkasjesøkeren AS,913336569,,,,Tyslevveien 60,1163,OSLO,Norge,Tyslevveien 60,1163,OSLO,Norge
20255,L-flis og Interiør AS,852433582,22 80 18 00,901 72 159,,Ole Deviks vei 36,668,OSLO,Norge,Ole Deviks vei 36,668,OSLO,Norge
20372,Lightup AS,927479125,,988 59 898,,Ole Nielsens vei 13,4330,ÅLGÅRD,,Ole Nielsens vei 13,4330,ÅLGÅRD,Norge
20035,Linde Gas AS,934863909,23 17 72 00,,,Postboks 13 Nydalen,409,OSLO,,Gjerdrums vei 8,484,OSLO,Norge
20325,Lindorff AS,835302202,23 21 10 00,,,Postboks 7055,3007,DRAMMEN,,Hoffsveien 70B,377,OSLO,
20100,Lingu Norge AS,912774031,40 30 00 42,,,Madlaveien 10,4010,STAVANGER,Norge,Madlaveien 10,4010,STAVANGER,Norge
20364,Lux Fitness AS,920238165,,977 89 081,,Høgahaug 55,5563,FØRRESFJORDEN,,Høgahaug 55,5563,FØRRESFJORDEN,Norge
20309,Lyreco Norge AS,916315031,21 03 03 00,,,Postboks 3,1901,FETSUND,,Heiaveien 6,1900,FETSUND,
20010,Løvenskiold Handel AS,980079872,22 13 20 00,,post@lovenskiold.no,Postboks 38   Skøyen,212,OSLO,Norge,Drammensveien 230,277,OSLO,Norge
20158,Malerfirma Brandsdal AS,914814421,,901 90 366,,Rognerudveien 43A,681,OSLO,Norge,Rognerudveien 43A,681,OSLO,Norge
20382,Malling & Co Energi og Miljø AS,914872898,,,,Dronning Mauds gate 15,250,Oslo,,,,,
20254,Malorama AS,988950475,62 51 94 00,,post@malorama.no,Postboks 22   Økern,508,OSLO,Norge,Alf Bjerckes vei 10,582,OSLO,Norge
20430,Map Media Solutions AS,998041767,,,,Ringvegen 23,2066,Jessheim,,,,,
20312,MARKER KOMMUNE - DIVERSE FAKTURERING,964944334,,,,POSTBOKS 114,1871,ØRJE,,,,,
20451,Maske AS,975872378,2120,,,Postboks 2432 Torgarden,7005,TRONDHEIM,Norge,Løvåsmyra 2,7093,TILLER,Norge
20453,MASKIN OG TRUCKOPPLÆRING AS,914585848,,,,Marikåpeveien 27,1529,Moss,,,,,
20359,Merkefabrikken as,911674394,,,,Store Strandgate 33,N-1550,Hølen,,,,,
20012,Metos AS,938454213,93 26 38 67,,metos.norway@metos.no,Postboks 184  Holmlia,1203,OSLO,Norge,Rosenholmveien 4A,1252,OSLO,Norge
20088,Mis - Moss Isolasjonsservice AS,981934571,99 52 27 32,99522732,moss@isolasjon.no,Postboks 2104,1521,MOSS,Norge,Årvollskogen 46,1529,MOSS,Norge
20384,Mitt Dekkhotell Fornebu AS,923039767,23880205,,,Østre Aker vei 24B,581,OSLO,,Tornsangerveien 25,1360,FORNEBU,Norge
20301,Modulvegger Oslo AS,930114065,,,,Gladengveien 14,603,OSLO,,,,,
20096,Moelven Modus AS,951269778,6050,,post.modus@moelven.no,Postboks 63,2051,JESSHEIM,Norge,Asfaltvegen 1,2069,JESSHEIM,Norge
20177,Monterings-service AS,927441799,32 16 13 10,,,Postboks 22,3538,SOLLIHØGDA,Norge,Tjernslivegen,3538,SOLLIHØGDA,Norge
20248,Moss Elektro AS,943267596,69 20 96 60,,,Postboks 556  Høyden,1522,MOSS,Norge,Årvollskogen 10,1529,MOSS,Norge
20130,Motek AS,920295932,,,,Alf Bjerckes vei 22b,508,OSLO,,,,,
20297,M-tek AS,984679920,32 21 32 00,,,Kobbervikdalen 119 C,3036,DRAMMEN,,Kobbervikdalen 119 C,3036,DRAMMEN,Norge
20307,Multiconsult Norge AS,918836519,,,,Nedre Skøyen vei 2,276,Oslo,,,,,
20004,Multimaskin AS,936261892,22 65 79 40,,,Postboks 30   Alnabru,614,OSLO,Norge,Brobekkveien 113,582,OSLO,Norge
20391,Møller Bil Romerike AS,964995923,24 03 26 00,,,Postboks 6683 Etterstad,609,OSLO,,Hvamstubben 8,2013,SKJETTEN,Norge
20064,Møller Bil Vest AS,928481638,24 03 24 00,,,Postboks 6673 Etterstad,609,OSLO,Norge,Billingstadsletta 2,1396,BILLINGSTAD,Norge
20320,Møller Bil Øst AS,917805717,24 03 23 00,,,Postboks 6674 Etterstad,609,OSLO,,Enebakkveien 154,680,OSLO,
20042,Neo-select AS,952024736,32 24 44 64,,post@neoselect.no,Postboks 45,3421,LIERSKOGEN,Norge,Gamle Drammensvei 94,3420,LIERSKOGEN,Norge
20021,Nerligruppen AS,994910434,,922 81 950,faktura@nerligruppen.no,Skårersletta 45,1473,LØRENSKOG,Norge,Skårersletta 45,1473,LØRENSKOG,Norge
20214,NETTSOFT AS,959102384,,,,Strømsveien 258,668,OSLO,,,,,
20023,Nettverksspesialisten AS,914062802,,,,Gaustadalléen 21,349,OSLO,,Gaustadalléen 21,349,OSLO,Norge
20221,Nippon Gases Norge AS,945772042,4277,,bs_no@praxair.com,Postboks 23   Haugenstua,915,OSLO,Norge,Ringnesveien 50,978,OSLO,Norge
20188,Noha Norway AS,945429070,51 81 60 00,,sales@noha.no,Orstadvegen 124,4353,KLEPP STASJON,Norge,Orstadvegen 124,4353,KLEPP STASJON,Norge
20210,Norconsult AS,962392687,67 57 10 00,,firmapost@norconsult.no,Postboks 626,1303,SANDVIKA,Norge,Vestfjordgaten 4,1338,SANDVIKA,Norge
20208,Nordea Finans Norge AS,924507500,22 48 66 00,,marked@nordeafinans.no,Postboks 1166 Sentrum,107,OSLO,Norge,Essendrops gate 7,368,OSLO,Norge
20056,Nordic Hotel Support AB,,,4767165500,petter@nordichotelsupport.no,,,,,,,,
20140,Nordic Safety Engineering AS,977545722,66 85 02 00,,,Postboks 328,1377,BILLINGSTAD,Norge,Billingstadsletta 30,1396,BILLINGSTAD,Norge
20228,Nordic Sportsmaster AS,915995551,,,,Fekjan 29,1394,NESBRU,,,,,
20007,Nordomatic Norge AS,916131305,,,,Enebakkveien 302B,1188,OSLO,Norge,Enebakkveien 302B,1188,OSLO,Norge
20300,Noremax AS,996808289,,938 95 239,,Holbergs gate 3,166,OSLO,,Holbergs gate 3,166,OSLO,Norge
20125,Nore VVS AS,815075692,,,,Sandstuveien 52,1184,OSLO,,,,,
20329,Norfug AS,995647109,,,,Vollaveien 15-19 Bygg 1,668,OSLO,,,,,
20235,Normann Olsen Maskin AS,921502958,67 17 84 00,,nom@nom.no,Postboks 55,1313,VØYENENGA,Norge,Ringeriksv 155/157,1339,VØYENENGA,Norge
20231,Norrøna Storkjøkken Oslo AS,985265984,,,,Postboks 1115 Hillevåg,4095,STAVANGER,,,,,
20237,Norsk Batteriservice,987343761,,901 62 100,morten@handegaard.net,Fossenvegen 5,2080,EIDSVOLL,Norge,Fossenvegen 5,2080,EIDSVOLL,Norge
20146,Norsk Epoxy AS,998396336,,,,Lillestrømveien 892,1912,ENEBAKK,,,,,
20044,Norsk Gjenvinning AS,937270062,22 12 96 60,,ng.oslo@ngn.no,Postboks 567  Skøyen,214,OSLO,Norge,Lysaker torg 35,1366,LYSAKER,Norge
20026,Norsk Gulvservice AS,996475662,,,magnus@ngskog.no,Drammensveien 130,277,OSLO,Norge,Drammensveien 130,277,OSLO,Norge
20135,Norsk Hydros Pensjonskasse,938111545,22 53 21 85,,,Postboks 980  Skøyen,240,OSLO,Norge,Drammensveien 264,283,OSLO,Norge
20070,Norsk Rikskringkasting AS,976390512,23 04 70 00,,dokumentarkivet@nrk.no,Postboks 8500 Majorstuen,340,OSLO,Norge,Bjørnstjerne Bjørnsons plass 1,340,OSLO,Norge
20149,Norsk Sakkyndig Og,923164006,,941 87 767,evensovik@gmail.com,c/o Even B. Søvik,1832,ASKIM,Norge,c/o Even B. Søvik,1832,ASKIM,Norge
20191,Norsk Vvs Energi- og Miljøteknisk,938967814,22 70 83 00,,post@vvs-foreningen.no,Postboks 2843 Tøyen,608,OSLO,Norge,Hagegata 22,653,OSLO,Norge
20425,Notodden Sveiseindustri Svein Ivar Holland,942659059,,,,Semsvegen 89,3676,NOTODDEN,Norge,Tinnegrendvegen 89,3683,NOTODDEN,Norge
20141,Notto Tekstil & Solskjerming AS,819401802,22 70 19 50,,,Postboks 7047 Majorstuen,306,OSLO,Norge,Pilestredet 75D,354,OSLO,Norge
20238,NRC Gravco AS,998586259,,,,Alfasetveien 2,668,OSLO,,,,,
20351,Nti AS,964437130,48 20 33 00,,,Malmskriverveien 35,1337,SANDVIKA,,Malmskriverveien 35,1337,SANDVIKA,Norge
20371,Oakland Norge AS,996125580,,40550527,,Doneheia 109,4516,MANDAL,,Doneheia 109,4516,MANDAL,Norge
20298,Olavesen Rør og Sveis,917660654,,,,Rostadnesveien 21,1667,ROLVSØY,,Rostadnesveien 21,1667,ROLVSØY,Norge
20075,Olje- og Energisenteret AS,992067462,2496,,post@ooes.no,Postboks 343,3301,HOKKSUND,Norge,Loe bruk 16,3300,HOKKSUND,Norge
20169,Onepark AS,998638984,7275,,post@onepark.no,Bøkkerveien 5,579,OSLO,Norge,Bøkkerveien 5,579,OSLO,Norge
20182,Online4u AS,985139822,33 29 32 61,,jlv@online4u.no,Østre Kullerød 5,3241,SANDEFJORD,Norge,Torp-IT,3241,SANDEFJORD,Norge
20037,Oslo-akershus Rørleggerbedrift AS,994920790,,,post@oar.no,Ole Deviks vei 38,668,OSLO,Norge,Ole Deviks vei 38,668,OSLO,Norge
20148,OSLO BYGGINNREDNING AS,998296323,,,,Postboks 2917 Tøyen,608,OSLO,,,,,
20172,Oslo kemnerkontor,990488835,,,,Postboks 4594 Nydalen,404,OSLO,,,,,
20196,Oslo Liftutleie AS,965902937,22 80 61 61,,,Kjeller vest 8,2007,KJELLER,Norge,Persveien 2,581,OSLO,Norge
20225,Oslo Snø & Vedlikehold AS,999647170,,,,Tenorveien 182,1859,SLITU,Norge,Tenorveien 182,1859,SLITU,Norge
20251,OSLO TERMOGRAFI OG BYGGTEKNIKK AS,812166352,,,,Holumbakken 10A,1481,HAGAN,,,,,
20360,Oslo Universitetssykehus Hf,993467049,,,,Postboks 4956 Nydalen,424,OSLO,,Tårnbygget Kirkeveien 166,450,OSLO,Norge
20357,Park trade europe,,,,,,,,,,,,
20373,P Blomst AS,920235921,,,,Idrettsveien 5,1400,SKI,,Idrettsveien 5,1400,SKI,Norge
20152,Pelias Norsk Skadedyrkontroll AS,920312470,,,,Martensvegen 59,2409,ELVERUM,Norge,Martensvegen 59,2409,ELVERUM,Norge
20205,Pervaco AS,925703508,6321,,,Postboks 120,2027,KJELLER,Norge,Kjeller vest 2,2007,KJELLER,Norge
20331,Pil Interiørarkitektur og Design AS,990682747,,,,Wergelandsveien 21,167,OSLO,,Wergelandsveien 21,167,OSLO,
20341,Pingvin Klima AS,983060439,,,,Grensesvingen 9,661,OSLO,,,,,
20118,Plan- og bygningsetaten,971040823,,,,Postboks 364 Sentrum,102,OSLO,,,,,
20093,Port Øst AS,920455441,,,post@portost.no,Tjernsliveien 10B,3538,SOLLIHØGDA,Norge,Tjernsliveien 10B,3538,SOLLIHØGDA,Norge
20154,Powertech Information Systems AS,968031597,23 01 00 00,,post@powertech.no,Postboks 54,1324,LYSAKER,Norge,Snarøyveien 36,1364,FORNEBU,Norge
20454,PRAUSS AS,989708422,,,,LANGODDVEIEN 70A,1367,SNARØYA,,,,,
20065,Primafon AS,993826197,21 05 24 00,,post@primafon.no,Akersbakken 10,172,OSLO,Norge,Akersbakken 10,172,OSLO,Norge
20262,PRIMULATOR AS,918375643,,,,JOHAN SCHARFFENBERGSVEI 95,694,OSLO,,,,,
20337,Pr Maskin AS,892452172,51 48 62 09,97533486,,Postboks 82,4356,KVERNALAND,,Fosseikeveien 20,4323,SANDNES,
20274,Profilteam AS,938184275,62597100,,profilteam@profilteam.no,Elvesletta 25,2323,INGEBERG,Norge,Elvesletta 25,2323,INGEBERG,Norge
20370,Proline Norge AS,991147047,22 95 02 50,,,Frysjaveien 35,884,OSLO,,Frysjaveien 35,884,OSLO,Norge
20114,Proref AS,862318862,,91527000,post@proref.no,Maria Dehlis vei 40,1083,OSLO,Norge,Maria Dehlis vei 40,1083,OSLO,Norge
20421,ProsjektGulv AS,985594953,,,,Postboks 55,3161,Stokke,,,,,
20318,P-service AS,995215977,,41255415,,Jerikoveien 26,1067,OSLO,,Jerikoveien 26,1067,OSLO,
20197,Qicraft Norway AS,983521053,22 96 10 50,,post@qicraft.no,Drammensveien 211,281,OSLO,Norge,Drammensveien 211,281,OSLO,Norge
20293,Radia Mekaniske AS,968131435,,,,PROF. BIRKELANDS VEI 24C,1081,OSLO,,,,,
20153,Ragn Sells AS,952187627,67 91 01 00,,info@ragnsells.no,Postboks 453,1471,LØRENSKOG,Norge,Solheimveien 101,1473,LØRENSKOG,Norge
20167,Rajapack AS,934713710,22 51 40 00,,,Postboks 264,1541,VESTBY,Norge,Treveien 9,1540,VESTBY,Norge
20356,Ramirent AS,984820011,,,,RINGERIKSVEIEN 161,1339,VØYENENGA,,,,,
20168,Rational Norge AS,966539895,22 233 344,,,Postboks 24   KJELSÅS,411,OSLO,Norge,Frysjaveien 33,884,OSLO,Norge
20321,Registerenheten I Brønnøysund,974760673,75 00 75 09,,,Postboks 900,8910,BRØNNØYSUND,,Havnegata 48,8900,BRØNNØYSUND,
20102,Remitek AS,951242012,,,post@remitek.no,Nedre Rommen 5,988,OSLO,Norge,Nedre Rommen 5,988,OSLO,Norge
20398,Renta AS,984188498,55 92 75 10,,,Espehaugen 42,5258,BLOMSTERDALEN,,Espehaugen 42,5258,BLOMSTERDALEN,Norge
20134,Rentokil Initial Norge AS,919669152,23 00 66 00,,info-no@rentokil-initial.com,Postboks 84,2026,SKJETTEN,Norge,Sanitetsveien 17,2013,SKJETTEN,Norge
20288,Reservedel AS,999177735,22 53 53 38,,info@reservedel.no,Industriveien 20A,2020,SKEDSMOKORSET,Norge,Industriveien 20A,2020,SKEDSMOKORSET,Norge
20376,Respo Terrazzo AS,928358461,22 15 55 50,,,Postboks 22 Grefsen,409,OSLO,,Østre Aker vei 103,596,OSLO,Norge
20090,Riise & G G Storkjøkken AS,982118239,67 17 10 00,,post@culinaoslo.no,Holmaveien 20,1339,VØYENENGA,Norge,Holmaveien 20,1339,VØYENENGA,Norge
20236,Roar Jørgensen AS,979656874,32 17 90 00,,mail@roarjorgensen.no,Hvervenmoveien 33,3511,HØNEFOSS,Norge,Hvervenmoveien 33,3511,HØNEFOSS,Norge
20412,Romac AS,923641173,,,,,1067,Oslo,,,,,
20324,Romerike Betongsaging AS,979786506,,,,Postboks 30,2035,HOLTER,,,,,
20461,Ropo Capital Norway AS,913876725,33 48 62 00,,,Postboks 1700 Kilen,3206,SANDEFJORD,Norge,Framnesveien 3A,3222,SANDEFJORD,Norge
20399,Rotif Krysinski,928825094,,,,Fagerstrandveien 73,1363,HØVIK,,Fagerstrandveien 73,1363,HØVIK,Norge
20308,Rsm Advokatfirma AS,914095573,23 11 42 00,,,Postboks 1312 Vika,112,OSLO,,Filipstad brygge 1,252,OSLO,
20219,Rsm Norge AS,982316588,23 11 42 00,,firmapost@rsmnorge.no,Postboks 1312 Vika,112,OSLO,Norge,Filipstad brygge 1,252,OSLO,Norge
20163,Rustfri Sveis og Montering Erik,941302041,,,smonte@online.no,Vestlisvingen 92,969,OSLO,Norge,Vestlisvingen 92,969,OSLO,Norge
20097,Saint-gobain Byggevarer AS,940198178,,40405767,info@weber-norge.no,Postboks 6211 Etterstad,603,OSLO,Norge,Sandstuveien 68,680,OSLO,Norge
20285,Saljex AS,997618181,,,,Karl Johans gate 7,154,OSLO,Norge,Karl Johans gate 7,154,OSLO,Norge
20385,Samsel Project,918085815,,,,Haugjordet 14,1336,SANDVIKA,,Haugjordet 14,1336,SANDVIKA,Norge
20187,Satema AS,856457192,22 57 93 00,,,Postboks 21   Manglerud,612,OSLO,Norge,Enebakkveien 127,680,OSLO,Norge
20179,Sauna Entreprenør AS,998164966,,,,,1395,Hvalstad,,,,,
20074,Schneider Electric Norge AS,916247389,64 98 56 00,,,Postboks 6597 Etterstad,607,OSLO,Norge,Sandstuveien 68,680,OSLO,Norge
20016,Securitas AS,920144950,23 03 88 00,,info@securitas.no,Postboks 100 Alnabru,614,OSLO,Norge,Bøkkerveien 5,579,OSLO,Norge
20267,Sentrum Bygg AS,947117734,23 17 74 00,,kontakt@sentrumbygg.no,Postboks 2    ALNABRU,614,OSLO,Norge,Verkseier Furulunds vei 9,668,OSLO,Norge
20147,Sergel Norge AS,984272170,33 45 60 00,,,Postboks 177,3201,SANDEFJORD,Norge,Framnesveien 7,3222,SANDEFJORD,Norge
20043,Sg Finans AS,987664398,,,post@sgfinans.no,Postboks 105,1325,LYSAKER,Norge,Strandveien 18,1366,LYSAKER,Norge
20268,Sharp Business Systems Norge AS,983639151,23 17 09 50,,,Postboks 143  Alnabru,614,OSLO,Norge,Ole Deviks vei 35,668,OSLO,Norge
20258,Sharp Nordic Finans,975962288,,,,Postboks 184,1325,LYSAKER,,,,,
20217,Shelby Teknikk AS,979989806,51 46 18 00,,post@shelby.no,Postboks 230,4379,EGERSUND,Norge,Varbergveien 60,4371,EGERSUND,Norge
20086,Siemens AS,915826946,22 63 30 00,,post.no@siemens.com,"Postboks 1, Alnabru",613,OSLO,Norge,Østre Aker vei 88,596,OSLO,Norge
20095,Siemens Financial Services,981902122,22 63 49 00,41412350,info.no.sfs@siemens.com,Postboks 1    Alnabru,613,OSLO,Norge,Østre Aker vei 88,596,OSLO,Norge
20409,Sigmund Olsen Agentur AS,936010695,,,,Kirkeveien 54,1395,Hvalstad,,,,,
20226,Sigurd Helmen,969754770,,,,Gammevegen 3,2750,GRAN,,,,,
20145,Sigurd Stave Maskin AS,943056307,23 26 78 00,,mail@stavemaskin.com,Postboks 6159 Etterstad,602,OSLO,Norge,Brynsveien 1,667,OSLO,Norge
20380,Sikkerhetsmakulering AS,924965126,,,,Dokkvegen 8,3920,PORSGRUNN,,,,,
20252,Simployer AS,986419454,,,,Kalnesveien 5,1712,GRÅLUM,,,,,
20218,Sivab Svensk Installasjon Väst AB,,,,info@siv-ab.se,,,,,,,,
20216,Skatteetaten Merverdiavgiftsregnskapet,921455267,,,,Postboks 38,4891,GRIMSTAD,Norge,Jon Lilletuns vei 1,4879,GRIMSTAD,Norge
20316,Skatteetaten - Skatteinnkreving,924616733,,994 40 440,,Drammensveien 256,277,OSLO,,Drammensveien 256,277,OSLO,
20358,Skilt og Dekor AS,943527024,,,,Stabburveien 1A,1617,Fredrikstad,,,,,
20348,Skógr AS,912185060,,,,Drammensveien 130,277,OSLO,,Drammensveien 130,277,OSLO,Norge
20291,SmartDok AS,988578932,,,,Postboks 1057,9503,Alta,,,,,
20049,Smart It AS,998049636,67 90 31 10,,faktura@smartit.no,Grindalsvegen 3,2406,ELVERUM,Norge,Grindalsvegen 3,2406,ELVERUM,Norge
20413,"Sofia Rens, Skorep og Nøkkelfiling AS",812220012,,,,Gladengveien 4,661,OSLO,Norge,Gladengveien 4,661,OSLO,Norge
20394,SOFTGARDEN AS,998885388,,,,Fridtjof Nansens plass 4,160,Oslo,,,,,
20105,Solskjermingsgruppen AS,979813937,22 07 86 86,92299122,post@solskjermingsgruppen.no,Ole Deviks vei 38,668,OSLO,Norge,Ole Deviks vei 38,668,OSLO,Norge
20209,Solvang´s Dekorbyrå AS,984238096,23 00 78 70,,per@solvangs.no,Professor Birkelands vei 27B,1081,OSLO,Norge,Professor Birkelands vei 27B,1081,OSLO,Norge
20013,Somfy Norway AS,915587232,,,info.no@somfy.com,Industriveien 27D,2020,SKEDSMOKORSET,Norge,Industriveien 27D,2020,SKEDSMOKORSET,Norge
20368,Sono Norge AS,991625216,,,,Bredmyra 4,1739,BORGENHAUGEN,,Bredmyra 4,1739,BORGENHAUGEN,Norge
20287,Sparebank 1 Factoring AS,948396882,70 11 36 80,,factoring@sparebank1.no,Postboks 1347 Sentrum,6001,ÅLESUND,Norge,Rasmus Rønnebergs gate 21,6002,ÅLESUND,Norge
20224,Spartacus Helse AS,914819156,,,,Frydenbergveien 46B,575,OSLO,,,,,
20103,St1 Norge AS,913285670,22 66 50 00,,,Postboks 1154 Sentrum,107,OSLO,Norge,Bygg 6,277,OSLO,Norge
20271,Stamina Helse AS,884039312,40 00 17 09,,post@staminagroup.no,Postboks 4903 Nydalen,423,OSLO,Norge,Sinsenveien 53 A,585,OSLO,Norge
20279,Staples Solutions Norway AS,916950381,22 32 95 00,,kontakt@staples.no,Postboks 5 Furuset,1001,OSLO,Norge,Solheimveien 6,1461,LØRENSKOG,Norge
20106,Statens Innkrevingssentral,971648198,75 14 90 00,,firmapost@sismo.no,Postboks 455,8601,MO I RANA,Norge,Terminalveien 2,8624,MO I RANA,Norge
20098,Steco Miljø AS,982351820,,,,,3413,Lier,,,,,
20275,Steen & Lund AS,942493894,,,,Gjellebekkstubben 10,3420,Lierskogen,,,,,
20383,Stellebordspesialisten Norge Filial Av Utenlandsk Foretak,870912072,23 20 91 00,,,c/o KGH Accountancy & VAT Services AS Isebakkeveien 25,1788,HALDEN,,c/o BI Skøtbordspesialisten AB Gudmundsvag 1,,SE-237 00 BJARRED,Sverige
20377,Stena Recycling AS,983594506,35 503 740,,,Dokkvegen 8,3920,PORSGRUNN,,Dokkvegen 8,3920,PORSGRUNN,Norge
20374,Stm Design Ab,892282382,,,,c/o KGH Accountancy & Vat Services AS Isebakkeveien 25,1788,HALDEN,,Låsbomsgatan 9,,SE-589 41 LINKÖPING,Sverige
20375,Stm Design Ab,,,,,Låsbomsgatan 9,58941,Linköping,Sverige,Låsbomsgatan 9,,SE-589 41 LINKÖPING,Sverige
